Year,Tour_No,Winner,pre_tour_GC_wins,pre_tour_wins,total_completed_stage_races,total_completed_day_races
2023,110,Jonas Vingegaard,3,11,5,1
2022,109,Jonas Vingegaard,0,2,4,7
2021,108,Tadej Pogacar,3,4,4,7
2020,107,Tadej Pogacar,1,4,3,6
2019,106,Egan Bernal,2,1,4,7
2018,105,Geraint Thomas,1,3,5,3
2017,104,Chris Froome,0,3,5,4
2016,103,Chris Froome,2,3,4,1
2015,102,Chris Froome,2,4,5,1
2014,101,Vincenzo Nibali,0,1,6,8
2013,100,Chris Froome,4,5,6,4
2012,99,Bradley Wiggins,3,5,5,2
2011,98,Cadel Evans,2,1,4,6
2010,97,Andy Schleck ,0,1,4,5
2009,96,Alberto Contador,3,8,6,4
2008,95,Carlos Sastre,0,0,7,9
2007,94,Alberto Contador,2,4,5,6
2006,93,Oscar Pereiro ,0,1,4,5
2005,92,Lance armstrong,0,0,2,4
2004,91,Lance armstrong,1,4,6,1
2003,90,Lance armstrong,1,1,3,7
2002,89,Lance armstrong,2,1,3,4
2001,88,Lance armstrong,1,1,5,8
2000,87,Lance armstrong,0,1,2,7
1999,86,Lance armstrong,0,3,6,9
1998,85,Marco Pantani,1,4,3,3
1997,84,Jan Ullrich,1,2,6,12
1996,83,Bjarne Riis ,1,4,2,13
1995,82,Miguel Indurain,3,7,6,6
1994,81,Miguel Indurain,2,4,7,5
1993,80,Miguel Indurain,1,7,6,8
1992,79,Miguel Indurain,1,5,7,7
1991,78,Miguel Indurain,1,5,3,8
1990,77,Greg LeMond,0,1,3,5
1989,76,Greg LeMond,0,0,6,4
1988,75,Pedro Delgado,0,1,6,6
1987,74,Stephen Roche,3,7,7,8
1986,73,Greg LeMond,1,3,7,11
1985,72,Bernard Hinault,1,3,4,11
1984,71,Laurent Fignon,0,9,4,12
1983,70,Laurent Fignon,0,4,8,4
1982,69,Bernard Hinault,3,12,6,8
1981,68,Bernard Hinault,2,13,9,10
1980,67,Joop Zoetemelk,1,8,7,14
1979,66,Bernard Hinault,2,12,8,15
1978,65,Bernard Hinault,3,11,7,9
1977,64,Bernard Thevenet,0,3,7,11
1976,63,Lucien Van Impe,0,4,5,7
1975,62,Bernard Thevenet,2,4,6,11
1974,61,Eddy Merckx,7,24,11,20
1973,60,Luis Ocana,3,4,6,6
1972,59,Eddy Merckx,3,18,6,25
1971,58,Eddy Merckx,7,24,8,25
1970,57,Eddy Merckx,4,17,6,18
1969,56,Eddy Merckx,4,23,5,22
1968,55,Jan Janssen,1,8,6,12
1967,54,Roger Pingeon,0,0,1,6
1966,53,Lucien Aimar,0,1,6,10
1965,52,Felice Gimondi,1,1,3,6
1964,51,Jacques Anquetil,1,5,4,6
1963,50,Jacques Anquetil,4,5,6,7
1962,49,Jacques Anquetil,0,3,3,6
1961,48,Jacques Anquetil,2,8,5,10
1960,47,Gastone Nencini,0,3,4,12
1959,46,Federico Bahamontes,0,4,3,3
1958,45,Charly Gaul,0,4,3,4
1957,44,Jacques Anquetil,1,3,1,7
1956,43,Roger Walkowiak,0,0,2,0
1955,42,Louison Bobet,2,9,3,10
1954,41,Louison Bobet,0,3,1,7
1953,40,Louison Bobet,0,2,2,11
1952,39,Fausto Coppi,1,4,2,9
1951,38,Hugo Koblet,0,4,3,6
1950,37,Ferdinand Kubler,1,4,4,8
1949,36,Fausto Coppi,1,8,1,8
1948,35,Gino Bartali,1,4,2,5
1947,34,Jean Robic,0,3,1,4
1939,33,Sylvere Maes,0,0,0,1
1938,32,Gino Bartali,0,4,0,8
1937,31,Roger Lapebie,1,1,1,2
1936,30,Sylvere Maes,0,0,1,3
1935,29,Romain Maes,0,1,2,3
1934,28,Antonin Magne,0,0,0,4
1933,27,Georges Speicher,0,2,1,3
1932,26,Andre Leducq,0,0,0,0
1931,25,Antonin Magne,0,0,1,0
1930,24,Andre Leducq,0,0,0,0
1929,23,Maurice De Waele,1,2,2,1
1928,22,Nicolas Frantz,0,3,2,4
1927,21,Nicolas Frantz,0,3,0,4
1926,20,Lucien Buysse,0,0,0,1
1925,19,Ottavio Bottecchia,0,1,0,1
1924,18,Ottavio Bottecchia,0,0,0,4
1923,17,Henri Pelissier,0,1,0,2
1922,16,Firmin Lambot,0,0,1,0
1921,15,Leon Scieur,0,0,0,3
1920,14,Philippe Thys,0,0,0,2
1919,13,Firmin Lambot,0,0,0,1
1914,12,Philippe Thys,0,1,0,2
1913,11,Philippe Thys,0,0,0,1
1912,10,Odile Defraye,1,4,1,2
1911,9,Gustave Garrigou,0,1,0,5
1910,8,Octave Lapize,0,2,0,5
1909,7,Francois Faber,0,2,0,7
1908,6,Lucien Petit-Breton,1,5,1,2
1907,5,Lucien Petit-Breton,0,2,0,3
1906,4,Rene Pottier,0,0,0,1
1905,3,Louis Trousselier,0,2,0,2
1904,2,Henri Cornet ,0,0,0,1
1903,1,Maurice Garin,0,1,0,1
